   26  ,  surfaces   DESI-9.OPT         double retro    no spiders       "X5,Y5,Z5" coord system
 index,Type     ,X ,Y ,Z         ,Diam ,diam , pitch , roll ,Curvature          ,Aspher   , A4              ,A6              ,A8              ,A10             ,
      ,Retro    ,  ,  ,11001     ,     ,     ,       ,      ,                   ,         ,                 ,                ,                ,                ,
      ,Retro    ,  ,  ,-2000     ,     ,     ,       ,      ,                   ,         ,                 ,                ,                ,                ,
      ,Iris     ,  ,  , -500     ,3800 ,1500 ,       ,      ,                   ,         ,                 ,                ,                ,                ,
      ,Iris     ,  ,  , 2500     ,3800 ,1500 ,       ,      ,                   ,         ,                 ,                ,                ,                ,
      ,Mirror   ,  ,  ,11124.819 ,3800 ,1500 ,       ,      ,-4.68691413573E-05 ,-1.09763 ,                 ,                ,                ,                ,
      ,CBin  HEX,0 ,0 , 2500     ,     ,     ,       ,      ,0                  ,         ,                 ,                ,                ,                ,
      ,CBout HEX,0.,0., 2500     ,     ,     ,       ,      ,0                  ,         ,                 ,                ,                ,                ,
      ,Lens C1f ,  ,  , 2425.007 ,1139 ,     ,       ,      ,-8.43888977966E-04 ,         ,                 ,                ,                ,                ,
 C1   ,Lens C1b ,  ,  , 2288.417 ,1139 ,     ,       ,      ,-3.03308795652E-04 ,         ,                 ,                ,                ,                ,
      ,Lens C2f ,  ,  , 1813.200 ,850  ,     ,       ,      ,-7.92646774403E-05 ,         , -1.73045520E-10 ,1.53525650E-16  ,3.67541020E-22  ,-9.73764150E-28 ,
 C2   ,Lens C2b ,  ,  , 1768.480 ,850  ,     ,       ,      ,-1.63285033620E-03 ,         ,                 ,                ,                ,                ,
      ,CBin     ,  ,  , 1600     ,     ,     ,       ,    0 ,-2E-4              ,         ,                 ,                ,                ,                ,
      ,CBout    ,  ,  , 1600     ,     ,     ,       ,      ,-2E-4              ,         ,                 ,                ,                ,                ,
      ,Lens A1f ,  ,  , 1577.606 ,799  ,     , 0     ,      ,-2.17860177338E-04 ,         ,                 ,                ,                ,                ,
 ADC1 ,Lens A1b ,  ,  , 1517.456 ,799  ,     , 0.2465,      ,-7.29394602480E-04 ,         ,                 ,                ,                ,                ,
      ,CBin     ,  ,  , 1500     ,     ,     ,       ,    0 ,-7.2E-4            ,         ,                 ,                ,                ,                ,
      ,CBout    ,  ,  , 1500     ,     ,     ,       ,    0 ,-7.2E-4            ,         ,                 ,                ,                ,                ,
      ,Lens A2f ,  ,  , 1492.606 ,804  ,     , 0.2501,      ,-7.18328879694E-04 ,         ,                 ,                ,                ,                ,
 ADC2 ,Lens A2b ,  ,  , 1432.456 ,804  ,     , 0     ,      ,-9.52762057204E-04 ,         ,                 ,                ,                ,                ,
      ,CBin     ,  ,  , 1400     ,     ,     ,       ,      ,-9.5E-4            ,         ,                 ,                ,                ,                ,
      ,CBout    ,  ,  , 1400     ,     ,     ,       ,    0 ,-9.5E-4            ,         ,                 ,                ,                ,                ,
      ,Lens C3f ,  ,  , 1233.199 ,834  ,     ,       ,      ,7.46270327471E-04  ,         , 1.28761240E-10  ,-2.47239660E-16 ,4.43883190E-22  ,-7.37730760E-27 ,
 C3   ,Lens C3b ,  ,  , 1153.113 ,834  ,     ,       ,      ,9.74394852077E-04  ,         ,                 ,                ,                ,                ,
      ,Lens C4f ,  ,  ,  615.927 ,1034 ,     ,       ,      ,-1.07043459645E-03 ,         ,                 ,                ,                ,                ,
 C4   ,Lens C4b ,  ,  ,  399.007 ,1034 ,     ,       ,      ,1.92834650073E-04  ,         ,                 ,                ,                ,                ,
      ,FocPlane ,  ,  ,    0.000 ,840  ,     ,       ,      ,-2.0088414539E-04  ,         , -2.96481970E-10 ,3.45230870E-15  ,-1.80419790E-20 ,3.25707820E-26  ,
      ,         ,  ,  ,          ,840  ,     ,       ,      ,                   ,         ,                 ,                ,                ,                ,
      ,         ,  ,  ,          ,     ,     ,       ,      ,                   ,         ,                 ,                ,                ,                ,

   Res,lt MAXADC, 0,36,um-   Yfp=,.107m, towa,d zenit,
      ,         , 1,01,um-   Yfp=,.907m,
      ,         ,if,er,nce-   dY=,.200m,
   Foc,l length-,1m,ad,=> 13.93mm,   So-,this dY i, a,sk, angle = 0,2/13.,3 = 1,.36 ura, = 2.9,62 arcsec
   But,at ZA=45d,g-,dA,gle ranges,8.4 t, 9.0u,ad depe,ding o, P-T;
   So ,axZA = ar,ta,(1,.36/9.0) =,59deg,ees.
